time,accelerometer1,accelerometer2,accelerometer3,magnetic_field1,magnetic_field2,magnetic_field3,orientation1,orientation2,orientation3,gyroscope1,gyroscope2,gyroscope3,gravity1,gravity2,gravity3,linear_acceleration1,linear_acceleration2,linear_acceleration3,rotation_vector1,rotation_vector2,rotation_vector3,rotation_vector4,rotation_vector5,step_counter1,label
2018-02-19 04:51:11.620,8.684125943616001,-4.358818440422399,2.1494882122303998,-34.79711303902605,14.5485,12.911670426100807,24.07957,69.58333,-62.232426000000004,0.039950587,-0.01065349,0.047940705,8.549719999999999,-4.310061,2.12039,0.13440649861888002,-0.048757331920512,0.029098255729919996,-0.5662765999999999,-0.31316113,-0.43503764,0.6261018,0.0,0.0,1
2018-02-19 04:51:11.630,8.755936,-4.354829977993003,2.1207652,-34.966549450549444,14.492016483516483,13.682642857142858,24.21493,69.47636,-62.24005,0.05060408,-0.02130698,0.05060408,8.549719999999999,-4.310061,2.12039,0.20621586,-0.04476887799948801,0.00037527084000000004,-0.5660524,-0.31294879999999997,-0.43551087,0.62608135,0.0,0.0,1
2018-02-19 04:51:11.640,8.870830999999999,-4.3324885,2.1207652,-34.62766570271833,14.379055234239445,13.902917293233083,24.179124289102745,69.4818974873724,-62.24057652456036,0.04897346200766956,-0.023481137051001535,0.04027683543629772,8.549719999999999,-4.310061,2.12039,0.32111073,-0.022427559,0.00037527084000000004,-0.5659841436416831,-0.3131079961293794,-0.43533208838145093,0.6261876140847205,0.0,0.0,1
2018-02-19 04:51:11.650,8.909127887232,-4.2894035063808005,2.1303391372288,-34.28878195488721,14.266093984962406,14.123191729323308,24.143318578205488,69.48743497474477,-62.24110304912072,0.04734284401533912,-0.025655294102003075,0.029949590872595428,8.549719999999999,-4.310061,2.12039,0.35940824223744,0.020657471118784,0.00994919064991488,-0.5659158872833663,-0.3132671922587589,-0.4351533067629019,0.6262938781694408,0.0,0.0,1
2018-02-19 04:51:11.660,8.8373198064,-4.303765,2.154275943616,-33.94988953152111,14.15312984384037,14.343471804511278,24.1075119506703,69.49297260387866,-62.241629587160276,0.045712184278653756,-0.027829506812137552,0.019622081928048235,8.549719999999999,-4.310061,2.12039,0.28759986389632003,0.0062961580000000005,0.03388594786496,-0.5658476291776642,-0.31342639246361137,-0.4349745205674848,0.6264001449745568,0.0,0.0,1
2018-02-19 04:51:11.670,8.736784774464,-4.303764312230401,2.1423085095808,-33.610997108155,14.040165702718333,14.563751879699248,24.071705323135113,69.49851023301254,-62.24215612519984,0.044081524541968384,-0.03000371952227203,0.009294572983501045,8.549719999999999,-4.310061,2.12039,0.18706508945984,0.00629665127008,0.02191851828947456,-0.5657793710719622,-0.31358559266846386,-0.43479573437206775,0.6265064117796726,0.0,0.0,1
2018-02-19 04:51:11.680,8.66292537134289,-4.322914,2.20009708562756,-33.40766232879634,14.136741541152878,14.46209629671033,24.033280264538973,69.50455578802747,-62.243522628578745,0.043057836893373724,-0.03151659543994539,0.0,8.55375338136337,-4.305212490125805,2.113962565842598,0.10917157568095377,-0.01770156401367759,0.08613454478532769,-0.5657056605239579,-0.3137612786171438,-0.4346068595268166,0.6266163077249648,0.0,0.0,1
2018-02-19 04:51:11.690,8.641041,-4.322914,2.1973617,-34.47053512997742,14.864595813260724,12.962501,23.983398,69.511925,-62.24989300000001,0.05060408,-0.029297099,0.0026633726,8.557625999999999,-4.3001629999999995,2.1085613,0.08341503,-0.022751331,0.08880043,-0.56560147,-0.31402117,-0.43437582,0.62674046,0.0,0.0,1
2018-02-19 04:51:11.700,8.58359325,-4.2989777,2.22129795,-34.051547843895776,13.748716979320742,12.176272964600637,23.94843656894168,69.53028604833342,-62.263763399313916,0.05060408,-0.03142782467328862,0.009588195546566996,8.557625999999999,-4.3001629999999995,2.1085613,0.025967597999999998,0.0011851787000000005,0.1127367,-0.5655887596313554,-0.3142148889529466,-0.4342820688659055,0.6267197146408274,0.0,0.0,1
2018-02-19 04:51:11.710,8.612317,-4.246317400000001,2.1590632999999997,-33.00100780790006,13.93853095079743,12.38303070080383,23.889175,69.54916,-62.260369999999995,0.05060408,-0.039950587,0.02130698,8.557625999999999,-4.3001629999999995,2.1085613,0.054691315,0.053845406,0.05050206,-0.56553364,-0.3144137,-0.43399814,0.6268664,0.0,0.0,1
2018-02-19 04:51:11.720,8.614710596799998,-4.1912630090304,2.1901805218047996,-33.58326756498871,13.769388931555309,12.491156723812516,23.834132786534113,69.56958174702393,-62.25599164961386,0.05104795606007595,-0.04261396,0.023970352,8.557625999999999,-4.3001629999999995,2.1085613,0.05708488430176,0.10889976096831999,0.0816192893056,-0.5654997415411529,-0.31457948397192476,-0.4337382156615608,0.6269935738208815,0.0,0.0,1
2018-02-19 04:51:11.730,8.660190487776001,-4.196051503193599,2.1901798340352,-34.187095687791555,13.467368870178634,12.508314363579474,23.868492,69.506294,-62.2801,0.047940705,-0.037287217000000004,0.015980236000000002,8.557625999999999,-4.3001629999999995,2.1085613,0.10256471027776,0.10411139930944001,0.08161855903552001,-0.5652176999999999,-0.3148071,-0.4338344,0.6270671999999999,0.0,0.0,1
2018-02-19 04:51:11.740,8.66019,-4.2175937,2.1877869999999997,-32.6960005,14.83825,13.2675,23.818548,69.52854,-62.282753,0.031960472000000004,-0.037287217000000004,0.005326745,8.557625999999999,-4.3001629999999995,2.1085613,0.10256386,0.08256912,0.07922578,-0.5651989000000001,-0.31498653,-0.43363124,0.62713456,0.0,0.0,1
